id,company,sales_weekly,sales_monthly,branches,net_worth
1,Bubblemix,303,1614,9,$3.68
2,Dabfeed,137,3717,19,$4.07
3,Flipbug,490,791,22,$1.57
4,Midel,124,3763,18,$7.91
5,Photojam,708,1469,21,$2.00
6,Edgetag,1179,1631,6,$2.21
7,Brainlounge,458,4128,26,$1.76
8,Zoovu,177,2866,9,$2.90
9,Layo,215,3111,3,$9.10
10,Mydeo,222,1190,23,$4.89
11,Zoombeat,1019,3302,5,$3.62
12,Skalith,1071,330,10,$5.41
13,Dynava,774,3355,28,$0.90
14,Centizu,599,1174,14,$3.50
15,Aimbo,800,396,8,$0.47
16,Photobug,943,1917,10,$1.93
